,amt,city,Hour,category,customer_id,city_pop,zip,state,Day,is_hour_23,DayOfWeek,Month,gender,is_hour_1,is_business_day,is_hour_3,is_hour_2,is_day_12,is_day_25,is_payment_day_20,is_fraud
0,793.81,0.648195792697679,23,1.1218691508323768,309210,19408.0,82501.0,0.06627424724795804,29,1,2,5,0.06780933672393567,0,1,0,0,0,0,0,1.0
1,224.44,0.0,17,-0.7624900215463709,203887,1966.0,3774.0,0.5689987510364858,14,0,6,4,0.06780933672393567,0,0,0,0,0,0,0,0.0
2,139.71,0.0,13,-0.9102272605448781,250812,47772.0,44223.0,-0.3730982481864606,5,0,6,5,0.06780933672393567,0,0,0,0,0,0,0,0.0
3,74.98,0.0,20,-0.7624900215463709,73901,1304.0,12092.0,0.24830424725916417,12,0,1,2,-0.060480861447470585,0,1,0,0,1,0,0,0.0
4,777.94,0.1557193075998849,20,0.9184968547574354,233109,493806.0,35229.0,0.37688069771010346,27,0,5,4,0.06780933672393567,0,0,0,0,0,0,0,1.0
5,34.73,0.0,13,-0.8769125935111616,299424,15623.0,48193.0,0.21347107588762151,26,0,6,5,-0.060480861447470585,0,0,0,0,0,0,0,0.0
6,45.02,0.0,3,-0.09596916220399085,64833,759.0,86018.0,-0.9678138848996559,8,0,4,2,0.06780933672393567,0,1,1,0,0,0,0,0.0
7,83.61,0.0,15,-0.8769125935111616,121538,60.0,97033.0,-0.1437972224988989,9,0,5,3,0.06780933672393567,0,0,0,0,0,0,0,0.0
8,28.15,0.0,21,-1.7414006772859965,93180,181438.0,34953.0,0.2459494145081303,24,0,6,2,-0.060480861447470585,0,0,0,0,0,0,0,0.0
9,46.57,0.0,18,-0.9102272605448781,251546,4993.0,77358.0,-0.1883299707076134,5,0,6,5,-0.060480861447470585,0,0,0,0,0,0,0,0.0
10,3.29,0.0,11,-0.6232182924237895,247659,215.0,67545.0,0.3272014437787832,4,0,5,5,-0.060480861447470585,0,0,0,0,0,0,0,0.0
11,2.32,0.0,14,-0.588837873889145,190917,1363.0,24070.0,-0.6390671878160328,8,0,0,4,-0.060480861447470585,0,1,0,0,0,0,0,0.0
12,979.38,0.43462169239962,1,0.9184968547574354,130564,910148.0,46290.0,-0.08547258526790573,13,0,2,3,0.06780933672393567,1,1,0,0,0,0,0,1.0
13,72.87,0.1557193075998849,10,-0.09596916220399085,237774,888.0,52535.0,0.2861780043484511,29,0,0,4,-0.060480861447470585,0,1,0,0,0,0,0,0.0
14,97.88,0.0,16,-0.9102272605448781,261750,528.0,16329.0,-0.33024966895877095,10,0,4,5,-0.060480861447470585,0,1,0,0,0,0,0,0.0
15,6.93,0.0,0,1.1218691508323768,7679,2443.0,24983.0,-0.7925721285847098,6,0,6,1,0.06780933672393567,0,0,0,0,0,0,0,0.0
16,405.28,0.0,21,1.1218691508323768,2102,34153.0,77327.0,-0.1883299707076134,1,0,1,1,-0.060480861447470585,0,1,0,0,0,0,0,0.0
17,124.8,0.0,4,0.924392147842978,302187,1789.0,69165.0,0.3461998779406281,27,0,0,5,-0.060480861447470585,0,1,0,0,0,0,0,0.0
